幫一東上    ,poungq     ,puŋʔ    ,琫      ,幫 ,一    ,東 ,上
幫一東入    ,pouk       ,puk     ,卜      ,幫 ,一    ,東 ,入
滂一東入    ,phouk      ,pʰuk    ,扑      ,滂 ,一    ,東 ,入
並一東平    ,boung      ,buŋ     ,蓬      ,並 ,一    ,東 ,平
並一東上    ,boungq     ,buŋʔ    ,菶      ,並 ,一    ,東 ,上
並一東入    ,bouk       ,buk     ,暴      ,並 ,一    ,東 ,入
明一東平    ,moung      ,muŋ     ,蒙      ,明 ,一    ,東 ,平
明一東上    ,moungq     ,muŋʔ    ,蠓      ,明 ,一    ,東 ,上
明一東去    ,moungh     ,muŋh    ,𢄐      ,明 ,一    ,東 ,去
明一東入    ,mouk       ,muk     ,木      ,明 ,一    ,東 ,入
端一東平    ,toung      ,tuŋ     ,東      ,端 ,一    ,東 ,平
端一東上    ,toungq     ,tuŋʔ    ,董      ,端 ,一    ,東 ,上
端一東去    ,toungh     ,tuŋh    ,涷      ,端 ,一    ,東 ,去
端一東入    ,touk       ,tuk     ,豰      ,端 ,一    ,東 ,入
透一東平    ,thoung     ,tʰuŋ    ,通      ,透 ,一    ,東 ,平
透一東上    ,thoungq    ,tʰuŋʔ   ,侗      ,透 ,一    ,東 ,上
透一東去    ,thoungh    ,tʰuŋh   ,痛      ,透 ,一    ,東 ,去
透一東入    ,thouk      ,tʰuk    ,禿      ,透 ,一    ,東 ,入
定一東平    ,doung      ,duŋ     ,同      ,定 ,一    ,東 ,平
定一東上    ,doungq     ,duŋʔ    ,動      ,定 ,一    ,東 ,上
定一東去    ,doungh     ,duŋh    ,洞      ,定 ,一    ,東 ,去
定一東入    ,douk       ,duk     ,獨      ,定 ,一    ,東 ,入
泥一東上    ,noungq     ,nuŋʔ    ,𨑊      ,泥 ,一    ,東 ,上
泥一東去    ,noungh     ,nuŋh    ,齈      ,泥 ,一    ,東 ,去
來一東平    ,loung      ,luŋ     ,籠      ,來 ,一    ,東 ,平
來一東上    ,loungq     ,luŋʔ    ,曨      ,來 ,一    ,東 ,上
來一東去    ,loungh     ,luŋh    ,弄      ,來 ,一    ,東 ,去
來一東入    ,louk       ,luk     ,祿      ,來 ,一    ,東 ,入
見一東平    ,koung      ,kuŋ     ,公      ,見 ,一    ,東 ,平
見一東去    ,koungh     ,kuŋh    ,貢      ,見 ,一    ,東 ,去
見一東入    ,kouk       ,kuk     ,穀      ,見 ,一    ,東 ,入
溪一東平    ,khoung     ,kʰuŋ    ,空      ,溪 ,一    ,東 ,平
溪一東上    ,khoungq    ,kʰuŋʔ   ,孔      ,溪 ,一    ,東 ,上
溪一東去    ,khoungh    ,kʰuŋh   ,控      ,溪 ,一    ,東 ,去
溪一東入    ,khouk      ,kʰuk    ,哭      ,溪 ,一    ,東 ,入
疑一東平    ,ngoung     ,ŋuŋ     ,㟅      ,疑 ,一    ,東 ,平
影一東平    ,qoung      ,ʔuŋ     ,翁      ,影 ,一    ,東 ,平
影一東上    ,qoungq     ,ʔuŋʔ    ,蓊      ,影 ,一    ,東 ,上
影一東去    ,qoungh     ,ʔuŋh    ,瓮      ,影 ,一    ,東 ,去
影一東入    ,qouk       ,ʔuk     ,屋      ,影 ,一    ,東 ,入
曉一東平    ,houng      ,xuŋ     ,烘      ,曉 ,一    ,東 ,平
曉一東上    ,houngq     ,xuŋʔ    ,嗊      ,曉 ,一    ,東 ,上
曉一東去    ,houngh     ,xuŋh    ,烘      ,曉 ,一    ,東 ,去
曉一東入    ,houk       ,xuk     ,嗀      ,曉 ,一    ,東 ,入
匣一東平    ,ghoung     ,ɣuŋ     ,洪      ,匣 ,一    ,東 ,平
匣一東上    ,ghoungq    ,ɣuŋʔ    ,澒      ,匣 ,一    ,東 ,上
匣一東去    ,ghoungh    ,ɣuŋh    ,哄      ,匣 ,一    ,東 ,去
匣一東入    ,ghouk      ,ɣuk     ,縠      ,匣 ,一    ,東 ,入
精一東平    ,tsoung     ,tsuŋ    ,葼      ,精 ,一    ,東 ,平
精一東上    ,tsoungq    ,tsuŋʔ   ,總      ,精 ,一    ,東 ,上
精一東去    ,tsoungh    ,tsuŋh   ,糉      ,精 ,一    ,東 ,去
精一東入    ,tsouk      ,tsuk    ,鏃      ,精 ,一    ,東 ,入
清一東平    ,tshoung    ,tsʰuŋ   ,悤      ,清 ,一    ,東 ,平
清一東去    ,tshoungh   ,tsʰuŋh  ,謥      ,清 ,一    ,東 ,去
清一東入    ,tshouk     ,tsʰuk   ,瘯      ,清 ,一    ,東 ,入
從一東平    ,dzoung     ,dzuŋ    ,叢      ,從 ,一    ,東 ,平
從一東去    ,dzoungh    ,dzuŋh   ,𣀒      ,從 ,一    ,東 ,去
從一東入    ,dzouk      ,dzuk    ,族      ,從 ,一    ,東 ,入
心一東平    ,soung      ,suŋ     ,𣞷      ,心 ,一    ,東 ,平
心一東上    ,soungq     ,suŋʔ    ,㪌      ,心 ,一    ,東 ,上
心一東去    ,soungh     ,suŋh    ,送      ,心 ,一    ,東 ,去
心一東入    ,souk       ,suk     ,速      ,心 ,一    ,東 ,入
幫三東平    ,pung       ,pɨuŋ    ,風      ,幫 ,三    ,東 ,平
幫三東去    ,pungh      ,pɨuŋh   ,諷      ,幫 ,三    ,東 ,去
幫三東入    ,puk        ,pɨuk    ,福      ,幫 ,三    ,東 ,入
滂三東平    ,phung      ,pʰɨuŋ   ,豐      ,滂 ,三    ,東 ,平
滂三東去    ,phungh     ,pʰɨuŋh  ,賵      ,滂 ,三    ,東 ,去
滂三東入    ,phuk       ,pʰɨuk   ,蝮      ,滂 ,三    ,東 ,入
並三東平    ,bung       ,bɨuŋ    ,馮      ,並 ,三    ,東 ,平
並三東去    ,bungh      ,bɨuŋh   ,鳳      ,並 ,三    ,東 ,去
並三東入    ,buk        ,bɨuk    ,伏      ,並 ,三    ,東 ,入
明三東平    ,mung       ,mɨuŋ    ,瞢      ,明 ,三    ,東 ,平
明三東去    ,mungh      ,mɨuŋh   ,㝱      ,明 ,三    ,東 ,去
明三東入    ,muk        ,mɨuk    ,目      ,明 ,三    ,東 ,入
來三東平    ,lung       ,lɨuŋ    ,隆      ,來 ,三    ,東 ,平
來三東入    ,luk        ,lɨuk    ,六      ,來 ,三    ,東 ,入
知三東平    ,trung      ,ʈɨuŋ    ,中      ,知 ,三    ,東 ,平
知三東去    ,trungh     ,ʈɨuŋh   ,中      ,知 ,三    ,東 ,去
知三東入    ,truk       ,ʈɨuk    ,竹      ,知 ,三    ,東 ,入
